name, average, error
steps,159922,29680.2
times,871.452,161.944
sx,0.009864,4.65761e-05
sz,0.099051,0.00624043
mag,0.099051,0.00624043
mag2,0.10989,0.00453035
mag4,0.0334301,0.00300128
cluster size,101.316,1.51752
corr_x,1
corr_t,1, 0.99, 0.967, 0.949, 0.932, 0.915, 0.897, 0.884, 0.859, 0.848, 0.822, 0.799, 0.782, 0.774, 0.755, 0.744, 0.72, 0.7, 0.691, 0.675, 0.657, 0.651, 0.64, 0.627, 0.619, 0.604, 0.591, 0.578, 0.564, 0.551, 0.546, 0.532, 0.519, 0.503, 0.499, 0.491, 0.483, 0.472, 0.464, 0.452, 0.442, 0.432, 0.426, 0.424, 0.414, 0.395, 0.384, 0.378, 0.369, 0.361, 0.351, 0.344, 0.338, 0.328, 0.324, 0.318, 0.305, 0.308, 0.302, 0.292, 0.292, 0.284, 0.285, 0.288, 0.291, 0.286, 0.285, 0.287, 0.281, 0.277, 0.273, 0.268, 0.264, 0.267, 0.264, 0.264, 0.247, 0.251, 0.243, 0.23, 0.222, 0.225, 0.224, 0.227, 0.223, 0.216, 0.213, 0.206, 0.202, 0.203, 0.211, 0.209, 0.206, 0.198, 0.199, 0.197, 0.191, 0.19, 0.185, 0.186, 0.185, 0.184, 0.181, 0.17, 0.171, 0.172, 0.168, 0.173, 0.17, 0.164, 0.155, 0.158, 0.158, 0.154, 0.156, 0.15, 0.153, 0.142, 0.136, 0.123, 0.119, 0.119, 0.121, 0.128, 0.127, 0.125, 0.12, 0.118, 0.118, 0.115, 0.117, 0.116, 0.113, 0.115, 0.117, 0.105, 0.103, 0.102, 0.093, 0.097, 0.098, 0.091, 0.091, 0.087, 0.082, 0.08, 0.077, 0.079, 0.074, 0.072, 0.076, 0.078, 0.074, 0.081, 0.076, 0.071, 0.074, 0.077, 0.077, 0.081, 0.074, 0.06, 0.06, 0.062, 0.062, 0.063, 0.062, 0.06, 0.064, 0.062, 0.058, 0.054, 0.056, 0.057, 0.062, 0.063, 0.056, 0.057, 0.06, 0.055, 0.053, 0.059, 0.063, 0.061, 0.058, 0.06, 0.052, 0.045, 0.049, 0.05, 0.042, 0.04, 0.042, 0.04, 0.032, 0.034, 0.031, 0.035, 0.031, 0.026, 0.025, 0.029, 0.033, 0.027, 0.025, 0.029, 0.031, 0.024, 0.021, 0.022, 0.026, 0.024, 0.021, 0.019, 0.021, 0.019, 0.02, 0.013, 0.016, 0.013, 0.012, 0.013, 0.01, 0.014, 0.013, 0.017, 0.019, 0.02, 0.018, 0.011, 0.009, 0.01, 0.011, 0.005, 0.004, 0.003, 0.001, -0.007, -0.016, -0.015, -0.019, -0.022, -0.023, -0.021, -0.021, -0.024, -0.024, -0.022, -0.014, -0.014, -0.017, -0.019, -0.017, -0.018, -0.025, -0.016, -0.021, -0.022, -0.025, -0.023, -0.022, -0.023, -0.026, -0.027, -0.032, -0.036, -0.046, -0.043, -0.04, -0.037, -0.035, -0.032, -0.03, -0.03, -0.034, -0.028, -0.024, -0.02, -0.022, -0.02, -0.014, -0.018, -0.016, -0.013, -0.017, -0.011, -0.011, -0.015, -0.017, -0.015, -0.02, -0.02, -0.015, -0.017, -0.02, -0.012, -0.011, -0.005, -0.01, -0.008, -0.007, -0.007, -0.004, -0.008, -0.002, 0, 0.008, 0.006, 0.011, 0.018, 0.018, 0.019, 0.018, 0.028, 0.034, 0.038, 0.04, 0.043, 0.041, 0.03, 0.029, 0.031, 0.021, 0.027, 0.026, 0.023, 0.021, 0.022, 0.029, 0.024, 0.021, 0.022, 0.025, 0.02, 0.019, 0.019, 0.025, 0.023, 0.019, 0.011, 0.013, 0.012, 0.009, 0.008, 0.009, 0.015, 0.014, 0.012, 0.01, 0.007, 0.009, 0.014, 0.012, 0.006, 0, 0.005, 0.007, 0.007, 0.018, 0.016, 0.01, 0.006, 0.005, 0.009, 0.005, 0.006, 0.005, 0.008, 0.012, 0.01, 0.016, 0.009, 0.011, 0.016, 0.017, 0.017, 0.023, 0.017, 0.026, 0.026, 0.018, 0.016, 0.015, 0.016, 0.015, 0.015, 0.012, 0.01, 0.002, -0.002, 0.002, 0.005, 0.01, 0.013, 0.019, 0.018, 0.015, 0.008, 0.014, 0.012, 0.007, 0.008, 0.009, 0.011, 0.018, 0.019, 0.025, 0.024, 0.025, 0.026, 0.021, 0.02, 0.019, 0.013, 0.008, 0.008, 0.011, 0.005, 0, -0.004, -0.007, -0.006, -0.002, -0.001, -0.005, -0.004, -0.006, -0.005, 0.002, -0.001, 0.001, 0, 0.004, -0.001, 0.003, 0.005, 0.005, -0.004, -0.01, -0.006, -0.008, -0.009, -0.009, -0.014, -0.01, -0.012, -0.014, -0.017, -0.014, -0.012, -0.012, -0.014, -0.016, -0.013, -0.011, -0.006, -0.005, 0, 0.002, -0.003, -0.002, -0.001, -0.003, -0.004, -0.006, -0.003, -0.004, -0.004, -0.002, -0.005, -0.007, -0.012, -0.007, -0.006, -0.006, -0.007, -0.004, -0.001, -0.009, -0.006, -0.015, -0.018, -0.015, -0.014, -0.023, -0.028, -0.02, -0.019, -0.02, -0.011, -0.014, -0.018, -0.019, -0.014, -0.013, -0.017, -0.024, -0.02, -0.018, -0.019, -0.016, -0.012, -0.009, -0.003, -0.006, -0.001, -0.001, 0, -0.003, -0.005, -0.019, -0.016, -0.016, -0.021, -0.019, -0.02, -0.022, -0.021, -0.02, -0.019, -0.02, -0.019, -0.016, -0.021, -0.015, -0.018, -0.018, -0.017, -0.016, -0.01, -0.003, 0.005, 0, -0.001, -0.001, 0, -0.003, -0.004, 0.001, -0.007, -0.007, -0.002, 0.006, 0.009, 0.002, 0.003, 0.003, 0.004, 0.003, 0.008, 0.01, 0.011, 0.009, 0.006, 0.007, 0.006, 0.01, 0.007, 0.006, 0.007, 0.01, 0.011, 0.002, 0.003, 0.012, 0.015, 0.008, 0.014, 0.012, 0.007, 0.003, 0.002, -0.007, -0.005, -0.005, -0.003, -0.009, -0.007, -0.015, -0.014, -0.009, -0.016, -0.018, -0.014, -0.017, -0.015, -0.011, -0.01, -0.015, -0.015, -0.009, -0.002, 0, -0.006, 0.001, -0.007, 0, 0.001, 0.008, 0.009, 0.007, 0.013, 0.011, 0.005, 0.009, 0.008, 0.003, -0.002, 0, 0.006, 0.008, 0.007, 0.012, 0.012, 0.009, 0.021, 0.025, 0.03, 0.032, 0.03, 0.029, 0.028, 0.015, 0.021, 0.016, 0.015, 0.021, 0.016, 0.017, 0.013, 0.022, 0.021, 0.017, 0.015, 0.011, 0.013, 0.007, 0.015, 0.016, 0.017, 0.012, 0.016, 0.015, 0.021, 0.017, 0.008, 0.008, 0.002, 0.004, 0.004, -0.006, -0.005, -0.005, -0.016, -0.016, -0.013, -0.022, -0.019, -0.017, -0.022, -0.011, -0.01, -0.006, -0.01, -0.007, -0.006, -0.008, -0.014, -0.016, -0.015, -0.019, -0.012, -0.007, -0.005, -0.004, 0.001, -0.006, -0.002, 0, 0.004, -0.004, 0, 0.002, 0.01, 0.011, 0.006, 0.005, -0.005, 0, -0.007, -0.012, -0.006, -0.005, -0.002, 0.001, -0.004, -0.006, -0.008, -0.013, -0.01, -0.014, -0.013, -0.013, -0.006, -0.004, -0.011, -0.01, -0.011, -0.007, -0.008, -0.01, -0.013, -0.003, -0.005, 0.007, 0.009, 0.007, 0, -0.005, -0.003, -0.003, -0.002, 0.003, -0.002, -0.002, -0.005, -0.008, -0.003, 0.001, -0.001, -0.005, -0.013, -0.012, -0.011, -0.009, -0.009, 0, 0.001, 0.008, 0.003, 0.006, 0.006, 0.008, 0, 0.007, 0.018, 0.019, 0.022, 0.019, 0.026, 0.029, 0.034, 0.038, 0.035, 0.037, 0.034, 0.035, 0.039, 0.039, 0.039, 0.041, 0.039, 0.042, 0.035, 0.038, 0.034, 0.031, 0.037, 0.036, 0.036, 0.035, 0.038, 0.039, 0.037, 0.029, 0.029, 0.028, 0.024, 0.013, 0.011, 0.009, 0.009, 0.003, 0.009, 0.013, 0.015, 0.011, 0.012, 0.01, 0.012, 0.017, 0.011, 0.013, 0.017, 0.014, 0.014, 0.02, 0.021, 0.021, 0.027, 0.026, 0.026, 0.024, 0.022, 0.019, 0.026, 0.031, 0.029, 0.039, 0.036, 0.034, 0.034, 0.036, 0.04, 0.035, 0.038, 0.047, 0.045, 0.048, 0.05, 0.056, 0.06, 0.055, 0.05, 0.047, 0.046, 0.047, 0.055, 0.048, 0.05, 0.06, 0.063, 0.07, 0.078, 0.07, 0.075, 0.076, 0.081, 0.077, 0.077, 0.067, 0.062, 0.064, 0.054, 0.058, 0.058, 0.051, 0.047, 0.046, 0.052, 0.05, 0.045, 0.042, 0.046, 0.047, 0.049, 0.051, 0.054, 0.055, 0.061, 0.064, 0.058, 0.058, 0.066, 0.057, 0.053, 0.063, 0.064, 0.065, 0.065, 0.073, 0.071, 0.072, 0.063, 0.056, 0.066, 0.068, 0.066, 0.074, 0.075, 0.082, 0.087, 0.089, 0.1, 0.095, 0.093, 0.098, 0.1, 0.106, 0.101, 0.1, 0.095, 0.099, 0.102, 0.108, 0.111, 0.12, 0.128, 0.135, 0.141, 0.145, 0.143, 0.145, 0.147, 0.159, 0.166, 0.17, 0.178, 0.176, 0.18, 0.182, 0.187, 0.189, 0.188, 0.194, 0.191, 0.185, 0.194, 0.199, 0.202, 0.206, 0.21, 0.209, 0.214, 0.221, 0.219, 0.221, 0.225, 0.228, 0.232, 0.243, 0.245, 0.252, 0.256, 0.266, 0.272, 0.287, 0.296, 0.299, 0.304, 0.3, 0.3, 0.307, 0.327, 0.333, 0.331, 0.332, 0.344, 0.355, 0.361, 0.367, 0.378, 0.385, 0.391, 0.395, 0.411, 0.427, 0.443, 0.455, 0.464, 0.471, 0.484, 0.503, 0.51, 0.513, 0.517, 0.522, 0.529, 0.539, 0.55, 0.559, 0.568, 0.58, 0.587, 0.603, 0.617, 0.626, 0.635, 0.652, 0.667, 0.673, 0.681, 0.693, 0.711, 0.732, 0.742, 0.755, 0.768, 0.782, 0.798, 0.819, 0.835, 0.852, 0.868, 0.886, 0.904, 0.926, 0.939, 0.962, 0.978
