name, average, error
steps,2.0098e+06,382971
times,109.561,20.8807
sx,0.194371,9.94367e-05
sz,-0.001876,0.00241371
mag,0.190039,0.00107385
mag2,0.0549421,0.000596193
mag4,0.00804266,0.000194011
cluster size,1,0
corr_x,1
corr_t,1, 0.599, 0.4776, 0.4112, 0.3408, 0.3086, 0.2654, 0.2586, 0.2276, 0.2132, 0.1902, 0.1662, 0.1644, 0.1582, 0.1452, 0.1276, 0.1306, 0.1108, 0.1158, 0.1228, 0.0972, 0.0982, 0.1056, 0.1212, 0.1078, 0.0952, 0.0862, 0.0836, 0.0652, 0.0666, 0.0682, 0.0668, 0.0654, 0.073, 0.0648, 0.0536, 0.0494, 0.048, 0.0646, 0.054, 0.0644, 0.0636, 0.0594, 0.0512, 0.0426, 0.0302, 0.0384, 0.0414, 0.0396, 0.0434, 0.0456, 0.0498, 0.044, 0.0348, 0.0278, 0.0426, 0.0418, 0.0414, 0.0346, 0.0254, 0.0272, 0.0184, 0.0254, 0.0138, 0.0184, 0.0178, 0.0266, 0.0144, 0.0192, 0.0228, 0.0176, 0.0174, 0.022, 0.0184, 0.0248, 0.03, 0.0232, 0.03, 0.0218, 0.0138, 0.0212, 0.0468, 0.0386, 0.0218, 0.0378, 0.0224, 0.0332, 0.0326, 0.043, 0.036, 0.0242, 0.028, 0.0346, 0.0188, 0.0144, 0.0288, 0.0176, 0.0146, 0.027, 0.0276, 0.0354, 0.0272, 0.018, 0.015, 0.02, 0.0222, 0.016, 0.0146, 0.0108, 0.0102, 0.012, 0.011, 0.0056, 0.001, 0.0154, 0.0136, 0.0046, 0.0046, 0.0054, 0.0076, 0.015, 0.0186, 0.0048, 0.0114, -0.0072, 0.0032, 0.0086, -0.0032, -0.0038, 0.0022, -0.006, 0.003, 0.001, 0.0018, 0.0116, 0.0054, 0.029, 0.0102, -0.0028, 0.012, 0.0062, 0.011, 0.0108, 0.006, 0.0076, 0.0064, 0.0242, 0.0216, 0.0144, 0.0254, 0.0276, 0.0158, 0.0142, 0.0112, 0.0192, 0.0232, 0.0132, 0.0032, 0.0044, 0.0062, 0.0106, 0.0158, 0.0202, 0.0092, 0.0116, 0.0094, 0.0166, 0.0286, 0.0138, 0.0134, 0.0038, -0.0062, 0.0028, 0, 0.0068, 0.0018, -0.0036, 0.0072, 0.0094, 0.0164, 0.0084, 0.004, 0.0088, 0.0078, 0.0078, 0.0166, 0.0228, 0.0212, 0.0176, -0.0114, 0.0132, 0.011, 0.0066, 0.0034, -0.0026, 0.0056, -0.004, 0.006, 0.0132, 0.011, 0.012, 0.0034, 0.0108, 0.0004, 0.0006, 0.0104, 0.0104, 0.012, 0.0074, 0.0086, 0.0182, 0.0154, 0.005, 0.0198, 0.0076, 0.009, 0.0192, 0.0258, 0.0228, 0.0152, 0.0114, 0.0222, 0.0114, 0.0168, 0.0244, 0.0096, 0.0196, 0.0096, 0.018, 0.0038, 0.0256, 0.0302, 0.0292, 0.012, 0.0236, 0.014, 0.01, 0.002, 0.009, 0.0124, 0.0124, 0.0102, 0.0232, 0.018, 0.0208, 0.0212, 0.0066, 0.009, 0.0142, 0.0004, 0.027, 0.0286, 0.012, 0.0218, 0.0226, 0.0186, 0.0288, 0.016, 0.0168, 0.0076, 0.0112, 0.0184, -0.0016, 0.0094, 0.0066, -0.0006, 0.0082, 0.0104, 0.0022, 0.0102, 0.0238, 0.0242, 0.0114, 0.0256, 0.0136, 0.0276, 0.0306, 0.0202, 0.0202, 0.027, 0.023, 0.0234, 0.0064, 0.0028, 0.0002, 0, 0.0084, 0.017, 0.022, 0.019, 0.0222, 0.013, 0.0082, 0.0092, 0.0154, 0.0224, 0.0348, 0.0262, 0.0154, 0.0246, 0.0258, 0.0234, 0.0274, 0.0246, 0.0094, 0.0148, 0.018, 0.024, 0.0358, 0.024, 0.0408, 0.0366, 0.029, 0.0356, 0.0272, 0.016, 0.0236, 0.0192, 0.0106, 0.0206, 0.0408, 0.0272, 0.0328, 0.0218, 0.0278, 0.0258, 0.017, 0.0216, 0.0332, 0.0322, 0.0366, 0.039, 0.028, 0.0368, 0.0296, 0.0354, 0.0372, 0.037, 0.046, 0.0386, 0.0448, 0.0348, 0.0506, 0.0498, 0.0362, 0.0502, 0.0456, 0.043, 0.0372, 0.0364, 0.0362, 0.025, 0.038, 0.0426, 0.0344, 0.0486, 0.0496, 0.0646, 0.065, 0.0622, 0.0624, 0.0706, 0.0626, 0.07, 0.0674, 0.063, 0.0616, 0.065, 0.0486, 0.0602, 0.0532, 0.0818, 0.0708, 0.0714, 0.074, 0.0934, 0.116, 0.1008, 0.1072, 0.0998, 0.1106, 0.109, 0.1052, 0.1186, 0.1348, 0.1462, 0.1536, 0.159, 0.1558, 0.1646, 0.1798, 0.1812, 0.2156, 0.2352, 0.2664, 0.2924, 0.3384, 0.404, 0.4674, 0.5854
