name, average, error
steps,52950,9574.27
times,436.709,78.8443
sx,0.002132,0.000115478
sz,0.040524,0.0260242
mag,0.987204,0.00227885
mag2,0.977746,0.00336972
mag4,0.962913,0.00458993
cluster size,487.308,1.47781
corr_x,1
corr_t,1, 0.998, 0.996, 0.992, 0.994, 0.996, 0.994, 0.996, 0.99, 0.99, 0.994, 0.996, 0.99, 0.986, 0.986, 0.986, 0.986, 0.986, 0.982, 0.986, 0.986, 0.988, 0.988, 0.986, 0.984, 0.986, 0.986, 0.988, 0.986, 0.988, 0.986, 0.982, 0.982, 0.98, 0.98, 0.98, 0.982, 0.982, 0.982, 0.982, 0.984, 0.982, 0.982, 0.982, 0.982, 0.98, 0.98, 0.98, 0.98, 0.984, 0.984, 0.98, 0.98, 0.984, 0.984, 0.98, 0.982, 0.978, 0.982, 0.98, 0.976, 0.978, 0.978, 0.978, 0.976, 0.974, 0.974, 0.974, 0.976, 0.974, 0.976, 0.978, 0.976, 0.976, 0.978, 0.978, 0.98, 0.98, 0.978, 0.98, 0.978, 0.982, 0.976, 0.976, 0.98, 0.98, 0.978, 0.98, 0.98, 0.978, 0.98, 0.98, 0.98, 0.98, 0.982, 0.98, 0.98, 0.98, 0.984, 0.982, 0.984, 0.984, 0.982, 0.978, 0.976, 0.976, 0.978, 0.976, 0.978, 0.98, 0.974, 0.98, 0.978, 0.98, 0.98, 0.98, 0.978, 0.98, 0.978, 0.978, 0.976, 0.978, 0.978, 0.97, 0.976, 0.978, 0.982, 0.982, 0.978, 0.98, 0.976, 0.976, 0.976, 0.976, 0.98, 0.98, 0.982, 0.98, 0.978, 0.978, 0.98, 0.98, 0.98, 0.98, 0.978, 0.978, 0.976, 0.978, 0.974, 0.976, 0.976, 0.98, 0.974, 0.98, 0.98, 0.98, 0.976, 0.978, 0.978, 0.978, 0.982, 0.982, 0.982, 0.982, 0.982, 0.98, 0.982, 0.982, 0.982, 0.982, 0.978, 0.98, 0.978, 0.98, 0.982, 0.98, 0.98, 0.98, 0.986, 0.986, 0.984, 0.98, 0.978, 0.98, 0.98, 0.98, 0.982, 0.98, 0.978, 0.984, 0.984, 0.986, 0.978, 0.98, 0.98, 0.982, 0.978, 0.982, 0.98, 0.978, 0.98, 0.98, 0.978, 0.978, 0.978, 0.984, 0.982, 0.982, 0.98, 0.976, 0.982, 0.982, 0.976, 0.978, 0.974, 0.978, 0.974, 0.978, 0.98, 0.982, 0.982, 0.982, 0.976, 0.982, 0.984, 0.986, 0.988, 0.984, 0.986, 0.984, 0.984, 0.98, 0.976, 0.974, 0.976, 0.974, 0.98, 0.974, 0.972, 0.972, 0.974, 0.972, 0.972, 0.978, 0.976, 0.978, 0.976, 0.974, 0.978, 0.976, 0.976, 0.98, 0.982, 0.984, 0.984, 0.982, 0.978, 0.982, 0.984, 0.984, 0.98, 0.982, 0.98, 0.98, 0.978, 0.98, 0.982, 0.982, 0.978, 0.974, 0.978, 0.98, 0.974, 0.974, 0.972, 0.976, 0.978, 0.976, 0.976, 0.976, 0.976, 0.98, 0.976, 0.976, 0.974, 0.978, 0.978, 0.976, 0.972, 0.974, 0.978, 0.976, 0.978, 0.978, 0.972, 0.976, 0.976, 0.976, 0.974, 0.976, 0.976, 0.976, 0.976, 0.976, 0.976, 0.976, 0.974, 0.974, 0.976, 0.974, 0.974, 0.974, 0.972, 0.974, 0.974, 0.968, 0.974, 0.978, 0.976, 0.976, 0.976, 0.974, 0.974, 0.974, 0.974, 0.972, 0.972, 0.97, 0.968, 0.97, 0.976, 0.972, 0.97, 0.972, 0.972, 0.976, 0.97, 0.968, 0.966, 0.968, 0.968, 0.968, 0.97, 0.972, 0.974, 0.98, 0.98, 0.978, 0.974, 0.976, 0.976, 0.974, 0.972, 0.968, 0.966, 0.968, 0.97, 0.976, 0.98, 0.98, 0.978, 0.976, 0.976, 0.978, 0.976, 0.976, 0.974, 0.974, 0.972, 0.976, 0.976, 0.972, 0.974, 0.97, 0.972, 0.972, 0.972, 0.972, 0.968, 0.972, 0.968, 0.966, 0.968, 0.966, 0.966, 0.974, 0.974, 0.972, 0.972, 0.974, 0.97, 0.974, 0.972, 0.978, 0.98, 0.982, 0.982, 0.982, 0.976, 0.978, 0.98, 0.978, 0.984, 0.984, 0.98, 0.982, 0.982, 0.982, 0.98, 0.982, 0.982, 0.982, 0.978, 0.97, 0.974, 0.974, 0.974, 0.97, 0.976, 0.976, 0.972, 0.974, 0.98, 0.976, 0.974, 0.976, 0.976, 0.976, 0.974, 0.978, 0.98, 0.978, 0.98, 0.98, 0.976, 0.974, 0.98, 0.976, 0.976, 0.978, 0.98, 0.978, 0.972, 0.974, 0.978, 0.976, 0.976, 0.976, 0.976, 0.976, 0.978, 0.98, 0.976, 0.98, 0.978, 0.978, 0.98, 0.982, 0.978, 0.982, 0.982, 0.982, 0.984, 0.984, 0.986, 0.986, 0.98, 0.984, 0.982, 0.984, 0.984, 0.982, 0.984, 0.982, 0.978, 0.98, 0.984, 0.984, 0.98, 0.984, 0.98, 0.982, 0.984, 0.984, 0.98, 0.978, 0.976, 0.98, 0.974, 0.98, 0.982, 0.986, 0.982, 0.986, 0.986, 0.984, 0.986, 0.99, 0.992, 0.992
