name, average, error
steps,1.0095e+06,191485
times,187.362,35.5102
sx,0.027555,0.000182947
sz,-0.00201,0.0148804
mag,0.95255,0.000957195
mag2,0.911303,0.00139033
mag4,0.839956,0.00179612
cluster size,1,0
corr_x,1
corr_t,1, 0.924, 0.919, 0.916, 0.902, 0.904, 0.893, 0.899, 0.904, 0.886, 0.887, 0.897, 0.899, 0.901, 0.898, 0.898, 0.883, 0.886, 0.89, 0.894, 0.879, 0.884, 0.885, 0.877, 0.88, 0.886, 0.884, 0.874, 0.88, 0.877, 0.887, 0.88, 0.879, 0.881, 0.888, 0.888, 0.875, 0.895, 0.893, 0.88, 0.886, 0.884, 0.88, 0.891, 0.888, 0.884, 0.88, 0.881, 0.886, 0.888, 0.881, 0.89, 0.883, 0.882, 0.875, 0.884, 0.893, 0.879, 0.885, 0.876, 0.886, 0.881, 0.881, 0.878, 0.881, 0.876, 0.876, 0.885, 0.89, 0.881, 0.894, 0.892, 0.895, 0.889, 0.882, 0.892, 0.887, 0.884, 0.887, 0.89, 0.879, 0.885, 0.876, 0.886, 0.891, 0.884, 0.892, 0.89, 0.878, 0.89, 0.886, 0.888, 0.875, 0.876, 0.891, 0.878, 0.882, 0.893, 0.883, 0.877, 0.878, 0.879, 0.882, 0.883, 0.877, 0.885, 0.888, 0.885, 0.892, 0.877, 0.883, 0.891, 0.883, 0.885, 0.884, 0.895, 0.893, 0.883, 0.883, 0.879, 0.888, 0.875, 0.88, 0.882, 0.876, 0.884, 0.866, 0.879, 0.884, 0.885, 0.886, 0.883, 0.885, 0.884, 0.876, 0.885, 0.889, 0.894, 0.885, 0.878, 0.877, 0.881, 0.881, 0.879, 0.888, 0.885, 0.876, 0.878, 0.872, 0.881, 0.879, 0.884, 0.892, 0.885, 0.882, 0.885, 0.876, 0.879, 0.883, 0.887, 0.894, 0.885, 0.887, 0.885, 0.878, 0.88, 0.883, 0.889, 0.884, 0.879, 0.867, 0.88, 0.881, 0.892, 0.875, 0.882, 0.881, 0.881, 0.887, 0.88, 0.882, 0.885, 0.883, 0.887, 0.89, 0.892, 0.896, 0.897, 0.88, 0.886, 0.885, 0.895, 0.905, 0.895, 0.897, 0.898, 0.895, 0.903, 0.927, 0.934
